id,institution
356,Lincoln (MO)
357,Lincoln (PA)
502715,Lincoln Christian
1176,Lincoln Memorial
506373,Lindenwood (IL)
30136,Lindenwood (MO)
502727,Lindsey Wilson
1179,Linfield
28600,Lipscomb
32,Little Rock
361,LIU Brooklyn
361,LIU
359,Livingstone
370,LMU (CA)
370,Loyola Marymount
360,Lock Haven
99,Long Beach St.
363,Longwood
364,Loras
671,Louisiana
1182,Louisiana Col.
366,Louisiana Tech
367,Louisville
506385,Lourdes
502812,Loyola (LA)
371,Loyola Chicago
369,Loyola Maryland
365,LSU
506339,LSU-Alexandria
502787,LSU-Shreveport
30177,Lubbock Christian
372,Luther
373,Lycoming
374,Lynchburg
20794,Lynn
506408,Lyon
376,Macalester
377,MacMurray
502867,Madonna
380,Maine
378,Maine Maritime
30137,Malone
1192,Manchester
381,Manhattan
502922,Manhattan Chrst.
382,Manhattanville
506363,Manitoba (CAN)
384,Mansfield
1194,Maranatha Baptist
502945,Marian (IN)
1196,Marian (WI)
385,Marietta
386,Marist
387,Marquette
1199,Mars Hill
388,Marshall
8597,Martin Luther
502981,Martin Methodist
30075,Mary
389,Mary Baldwin
1203,Mary Hardin-Baylor
390,Mary Washington
505182,Marycrest Int'l
392,Maryland
506383,Marymount (CA)
394,Marymount (VA)
395,Maryville (MO)
396,Maryville (TN)
397,Marywood
399,Mass. Maritime
400,Massachusetts
503033,Master's
502225,Mayville St.
773,McDaniel
503037,McGill (CAN)
30138,McKendree
486,MCLA
506510,McMaster (CAN)
8530,McMurry
402,McNeese
506039,McPherson
502877,Me.-Augusta
379,Me.-Farmington
502885,Me.-Fort Kent
502890,Me.-Machias
30040,Me.-Presque Isle
23725,Medaille
403,Medgar Evers
404,Memphis
506392,Menlo
406,Mercer
724,Merchant Marine
407,Mercy
408,Mercyhurst
409,Meredith
410,Merrimack
411,Messiah
412,Methodist
415,Miami (FL)
414,Miami (OH)
506146,Miami-Hamilton
503122,Miami-Middletown
503130,Mich.-Dearborn
418,Michigan
416,Michigan St.
417,Michigan Tech
503153,Mid-Amer. Christian
506041,MidAmerica Naz.
506199,Mid-Atlantic Christ.
506486,Middle Ga. St.
419,Middle Tenn.
420,Middlebury
506060,Midland
503175,Midway
1222,Midwestern St.
422,Miles
423,Millersville
503195,Milligan
424,Millikin
425,Mills
426,Millsaps
797,Milwaukee
427,Minn. Duluth
27854,Minn.-Crookston
1226,Minn.-Morris
428,Minnesota
383,Minnesota St.
30125,Minot St.
16142,Misericordia
429,Mississippi Col.
430,Mississippi St.
432,Mississippi Val.
434,Missouri
435,Missouri S&T
669,Missouri St.
506068,Missouri Valley
9013,Missouri Western
398,MIT
30042,Mitchell
503262,Mo. Baptist
9012,Mo. Southern St.
436,Mo.-St. Louis
503297,Mobile
506431,Mohawk (CAN)
437,Molloy
439,Monmouth
438,Monmouth (IL)
205,Mont. St. Billings
503735,Mont. St.-Northern
441,Montana
440,Montana St.
506022,Montana Tech
506024,Montana Western
442,Montclair St.
1238,Montevallo
503331,Montreat
503332,Moody Bible
443,Moravian
444,Morehead St.
445,Morehouse
446,Morgan St.
506400,Morningside
503365,Morris
30067,Morrisville St.
30036,Mount Aloysius
449,Mount Holyoke
30033,Mount Mary
1245,Mount Olive
450,Mount St. Mary's
452,Mount Union
20220,MSOE
413,MSU Denver
1240,MSU Moorhead
503374,Mt. Marty
503377,Mt. Mercy
506455,Mt. Royal (CAN)
8567,Mt. St. Joseph
1468,Mt. St. Mary (NY)
503405,Mt. Vernon Naz.
453,Muhlenberg
503415,Multnomah
454,Murray St.
455,Muskingum
431,MUW
488,N.C. A&T
489,N.C. Central
491,N.C. Wesleyan
8577,N.M. Highlands
726,Navy
461,Nazareth
490,NC State
503447,Neb. Christian
462,Neb. Wesleyan
1156,Neb.-Kearney
463,Nebraska
1254,Neumann
466,Nevada
467,New England Col.
469,New Hampshire
470,New Haven
501620,New Hope Christian
319,New Jersey City
473,New Mexico
472,New Mexico St.
474,New Orleans
506480,New School
477,New York Tech
1257,Newberry
30054,Newman
482,Niagara
483,Nicholls St.
484,Nichols
471,NJIT
485,Norfolk St.
487,North Ala.
457,North Carolina
492,North Central (IL)
30039,North Central (MN)
494,North Dakota
493,North Dakota St.
2711,North Florida
30052,North Georgia
9223,North Greenville
496,North Park
497,North Texas
500,Northeastern
12810,Northeastern St.
501,Northern Ariz.
506456,Northern B.C. (CAN)
502,Northern Colo.
503,Northern Ill.
505,Northern Ky.
506,Northern Mich.
506343,Northern N.M.
1266,Northern St.
1267,Northland
503796,Northwest (WA)
503780,Northwest Chrst.
506481,Northwest Indian
507,Northwest Mo. St.
1274,Northwest Nazarene
509,Northwestern
506072,Northwestern (IA)
506330,Northwestern Ohio
30178,Northwestern Okla.
508,Northwestern St.
30031,Northwestern-St. Paul
510,Northwood
511,Norwich
513,Notre Dame
8600,Notre Dame (MD)
30126,Notre Dame (OH)
30056,Notre Dame de Namur
24639,Nova Southeastern
324,NVU-Johnson
30065,NVU-Lyndon
1277,Nyack
479,NYU
506501,Oak Hills Christian
514,Oakland
1278,Oakland City
