id,drafted,hs,col
barcelo01,False,"San Pedro de Macoris (San Pedro de Macoris, Dominican Republic)",
bardda01,True,"Charlotte Christian HS (Charlotte, NC)","University of North Carolina at Chapel Hill (Chapel Hill, NC)"
bardebr01,True,"St. Augustine HS (San Diego, CA)","Oregon State University (Corvallis, OR)"
bardjo01,True,"Cherry Creek HS (Greenwood Village, CO)","Texas Tech University (Lubbock, TX)"
bardlu01,True,"Charlotte Christian HS (Charlotte, NC)","Georgia Institute of Technology (Atlanta, GA)"
barfijo02,True,"Spring HS (Spring, TX)",
barkean01,False,"Killian HS (Miami, FL)","North Carolina State University (Raleigh, NC)"
barkese01,True,"Stockdale HS (Bakersfield, CA)","Bakersfield College (Bakersfield, CA)"
barlosc01,True,"Golden Valley HS (Santa Clarita, CA)",
barmecl01,True,"Vincennes Lincoln HS (Vincennes, IN)","Olney Central College (Olney, IL)"
barneau01,True,"Riverside Poly HS (Riverside, CA)","Arizona State University (Tempe, AZ)"
barnebr02,True,"Katella HS (Anaheim, CA)","Cypress College (Cypress, CA)"
barneda01,True,"Southridge HS (Beaverton, OR)","Oregon State University (Corvallis, OR)"
barneda02,True,"Manhasset HS (Manhasset, NY)","Princeton University (Princeton, NJ)"
barneja01,True,"St. Petersburg HS (St. Petersburg, FL)","Florida Gulf Coast University (Fort Myers, FL)"
barnejo01,True,"Granite Hills HS (El Cajon, CA)","Grossmont College (El Cajon, CA)"
barnela01,True,"Bakersfield HS (Bakersfield, CA)","Bakersfield College (Bakersfield, CA)"
barnema01,True,"Bethel HS (Bethel, CT)","University of Connecticut (Storrs, CT)"
barnesc01,True,"Our Lady of Hope Cathedral HS (Springfield, MA)","St. John's University (Queens, NY)"
barneto01,True,"Thomas Jefferson HS (Auburn, WA)","Arizona State University (Tempe, AZ)"
barnhtu01,True,"Brownsburg HS (Brownsburg, IN)",
barnwch01,True,"Allen D. Nease HS (Ponte Vedra Beach, FL)","Flagler College (St. Augustine, FL)"
baronda01,True,"San Benito HS (Hollister, CA)","Monterey Peninsula College (Monterey, CA)"
baronst01,False,"John A. Ferguson School (Miami, FL)",Seattle Mariners
barraky01,True,"Wilcox HS (Santa Clara, CA)","St. Mary's College of California (Moraga, CA)"
barreaa01,True,"Central HS (Evansville, IN)","University of Mississippi (Oxford, MS)"
barrefr02,False,,
barreja01,True,"Desert Ridge HS (Mesa, AZ)","Arizona State University (Tempe, AZ)"
barrija01,False,,
barriyh01,False,,
barryke01,True,"West Windsor-Plainsboro HS (Princeton Junction, NJ)","Rider University (Lawrenceville, NJ)"
barthji01,True,"Roswell HS (Roswell, GA)",
bartlja01,True,"St. Mary's HS (St. Mary's, CA)","San Joaquin Delta College (Stockton, CA)"
bartobr01,True,"Westchester HS (Los Angeles, CA)","Loyola Marymount University (Los Angeles, CA)"
bartocl01,True,"Duncanville HS (Duncanville, TX)",
bartoda02,True,"Huntington Beach HS (Huntington Beach, CA)",
barziph01,True,"Dulles HS (Sugar Land, TX)","Alvin Community College (Alvin, TX)"
basakch01,True,"Minooka HS (Minooka, IL)","University of Illinois at Urbana-Champaign (Champaign, IL)"
bashlty01,True,"Calvary Day Baptist (Savannah, GA)","South Georgia College (Douglas, GA)"
bassan01,True,"Trenton HS (Trenton, MI)","Wayne State University (Detroit, MI)"
bassbr01,True,"Lee HS (Montgomery, AL)",
bassich01,True,"Genoa Area HS (Clay, OH)","University of Akron (Akron, OH)"
bastaan01,False,"Liceo Sol Ana Nolan (San Pedro de Macoris, Dominican Republic)",
batesaa01,True,"Archbishop Mitty HS (San Jose, CA)","San Jose State University (San Jose, CA)"
bauerja01,True,"Marina HS (Huntington Beach, CA)",
bauerri01,True,"Centennial HS (Eagle, ID)","Treasure Valley Community College (Ontario, OR)"
bauertr01,True,"William S. Hart HS (Santa Clarita, CA)","University of California, Los Angeles (Los Angeles, CA)"
baumabu01,True,"Logan-Rogersville HS (Rogersville, MO)","Missouri State University (Springfield, MO)"
bautide01,False,Liceo Las Americas (Dominican Republic),
bautige01,False,,
bautijo02,True,"De La Salle (Santo Domingo, Dominican Republic)","Chipola College (Marianna, FL)"
bautira01,False,,
baxtemi01,True,"Archbishop Molloy HS (Queens, NY)","Columbia University (New York, NY)"
bayja01,True,"J. Lloyd Crow HS (Trail, BC)","North Idaho College (Coeur d'Alene, ID)"
baylijo01,True,"Lawrence Academy (Groton, MA)","Trinity College (Hartford, CT)"
bazaryo01,False,,
beachbr01,False,"Northwestern HS (Kokomo, IN)","Indiana Wesleyan University (Marion, IN)"
beamtj01,True,"Saguaro HS (Scottsdale, AZ)","Scottsdale Community College (Scottsdale, AZ)"
beanco01,False,"Vestavia Hills HS (Vestavia Hills, AL)","Auburn University (Auburn, AL)"
