UCF,UCF,,11,Siena,SIE,,4,,9,2014-02-15
Jackson St.,JKST,,2,South Dakota St.,SDST,,10,,9,2014-02-15
Oral Roberts,ORU,,5,Southeast Mo. St.,SEMO,,7,,9,2014-02-15
Louisiana Tech,LTU,,6,Southeastern La.,SELA,,15,,9,2014-02-15
Western Ky.,WKU,,2,Southern Ill.,SIU,,3,,9,2014-02-15
Wichita St.,WICH,,7,SIUE,SIUE,,3,,9,2014-02-15
Central Ark.,UCA,,4,Missouri St.,MOST,,6,,9,2014-02-15
South Alabama,SAU,,6,Tennessee Tech,TNTC,,3,,9,2014-02-15
UAB,UAB,,3,UT Martin,UTM,,2,,9,2014-02-15
Jackson St.,JKST,,3,Texas Southern,TSU,,2,,9,2014-02-15
Wake Forest,WF,,4,Towson,TOW,,5,,9,2014-02-15
Florida A&M,FAMU,,0,Navy,NAVY,,2,,9,2014-02-15
Sacramento St.,SAC,,1,Utah,UTAH,,2,,9,2014-02-15
Samford,SAMF,,8,Valparaiso,VAL,,11,,9,2014-02-15
Long Beach St.,LBST,,0,Vanderbilt,VAN,,6,,9,2014-02-15
Cal St. Fullerton,CSF,,7,Washington St.,WSU,,9,,11,2014-02-15
Texas St.,TXST,,1,Washington,UW,,6,,9,2014-02-15
Memphis,MEM,,4,Western Mich.,WMU,,2,,9,2014-02-15
CSU Bakersfield,CSUB,,8,Milwaukee,MIL,,3,,9,2014-02-15
La.-Monroe,ULM,,5,Grand Canyon,GCU,,4,,9,2014-02-15
UT Arlington,UTA,,1,,,,4,,9,2014-02-15
,,,3,Utah Valley,UVU,,5,,9,2014-02-15
Abilene Christian,ACU,,4,,,,2,,9,2014-02-15
California,CAL,,2,Texas,UT,,1,,9,2014-02-15
Louisiana,ULL,,1,Eastern Ill.,EIU,,0,,9,2014-02-15
North Florida,UNF,,4,Richmond,RICH,,3,,9,2014-02-15
New Mexico St.,NMST,,8,Saint Mary's (CA),SMC,,2,,9,2014-02-15
Campbell,CAMP,,9,La Salle,LS,,2,,9,2014-02-15
Mississippi St.,MSST,,6,Western Caro.,WCU,,1,,9,2014-02-15
SFA,SFA,,1,Oklahoma St.,OKST,,3,"@Arlington, Texas        ",9,2014-02-15
VCU,VCU,,6,Old Dominion,ODU,,3,"@Atlanta, Ga.        ",9,2014-02-15
UIC,UIC,,10,Marist,MAR,,7,"@Beaumont, Texas        ",9,2014-02-15
Delaware,DEL,,1,Virginia Tech,VTU,,8,"@Charleston, S.C.        ",9,2014-02-15
West Virginia,WVU,,1,Delaware,DEL,,3,"@Charleston, S.C.        ",9,2014-02-15
Minnesota,MIN,,6,Northern Ill.,NIU,,4,"@Glendale, Ariz.        ",9,2014-02-15
Toledo,TOL,,4,Xavier,XAV,,6,"@Greenville, S.C.        ",9,2014-02-15
